WindDirection,Radius,Vector3D,TotalAreaBurned,TotalAreaBurnedWestOfTheRiver
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.00048828125,0
NE,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
E,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000732421875,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.0009765625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000732421875,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.0009765625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.0009765625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.0009765625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000732421875,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000732421875,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000732421875,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.0009765625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.000244140625,0
N,1,{-1 -1 -1},0.00048828125,0
N,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.00048828125,0
NE,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.00048828125,0
NE,1,{-1 -1 -1},0.00048828125,0
NE,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.00048828125,0
NE,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.00048828125,0
NE,1,{-1 -1 -1},0.000732421875,0
NE,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.000244140625,0
E,1,{-1 -1 -1},0.00048828125,0
NE,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.000732421875,0
NE,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.000244140625,0
NE,1,{-1 -1 -1},0.00048828125,0
